"asset_id","runtime_path","source_title","author","source_url","license","source_file","source_sha256"
"voice_emotion_none_male_02","assets/audio/voice/emotions/voice_emotion_none_male_02_v01.wav","OneHmm-question.wav","esperar","https://freesound.org/s/170779/","CC0","02_male_none_question_170779.mp3","6063f6181e4a12f40700dbd69198249b47072b6fd1964743fbe1afceddbd42a1"
"voice_emotion_happy_male","assets/audio/voice/emotions/voice_emotion_happy_male_v01.wav","Various Chuckles_Male.mp3","SnowFightStudios","https://freesound.org/s/643665/","CC0","04_male_happy_chuckles_643665.mp3","2b95a1862160c447d9aa178aaa8e2e7997326b6698aa909141b3f0a7a106e9dc"
"voice_emotion_relieved_male","assets/audio/voice/emotions/voice_emotion_relieved_male_v01.wav","A male sigh","randbsoundbites","https://freesound.org/s/799579/","CC0","09_male_relieved_short_799579.mp3","52dec88ef9958940fc5ff4c8162b8408b5b3f140bef1c56604549da20796d782"
"voice_emotion_angry_male","assets/audio/voice/emotions/voice_emotion_angry_male_v01.wav","Angry Grunt","Rocotilos","https://freesound.org/s/341489/","CC0","10_male_angry_short_341489.mp3","dc4aeb456ea1f274bc31e53a29b2b6d53f8190aadd6336dc88b8abbe7a02a8a4"
"voice_emotion_sad_female","assets/audio/voice/emotions/voice_emotion_sad_female_v01.wav","Woman sigh","biawinter","https://freesound.org/s/408090/","CC-BY-NC 4.0","01_female_sad_sigh_408090.mp3","35f94f9f6e17a7728eee5886f625bcacaa527d3930ba4e4cad689201e7154704"
"voice_emotion_afraid_female","assets/audio/voice/emotions/voice_emotion_afraid_female_v01.wav","Frightened Breathing.aiff","nickrave","https://freesound.org/s/112557/","CC0","04_female_afraid_breathing_112557.mp3","ad941799d547216ba9562d9be9bac8fbd9dd5a37e30db27562275efaea886ef4"
"voice_emotion_surprised_female","assets/audio/voice/emotions/voice_emotion_surprised_female_v01.wav","Female Gasp.wav","nicklas3799","https://freesound.org/s/467348/","CC-BY 4.0","05_female_surprised_gasp_467348.mp3","4d33f5ec27ae52b91d89580acafaec19d5a2a939b5e9643ad6a751cd5b81c9fb"
"voice_emotion_confused_female","assets/audio/voice/emotions/voice_emotion_confused_female_v01.wav","Huh? Female Voice Surprised/Confused","magicalmysticva","https://freesound.org/s/738003/","CC-BY 4.0","07_female_confused_huh_738003.mp3","2a0182bbfb78bf9a68c1c2f8a0fb4e50b9a45ac450f99e6c6c6043962bd57007"
"voice_emotion_determined_female","assets/audio/voice/emotions/voice_emotion_determined_female_v01.wav","uh huh.wav","shadoWisp","https://freesound.org/s/264610/","CC-BY 3.0","09_female_determined_affirmative_264610.mp3","0f525fe37ce57e1f2d3c0ed910fe6a0173bba03d4784412f67430b6f9779e65f"
"voice_emotion_sad_male","assets/audio/voice/emotions/voice_emotion_sad_male_v01.wav","Sad male sigh :(","pfranzen","https://freesound.org/s/417750/","CC-BY 4.0","01_male_sad_sigh_417750.mp3","80f1c0401ec993beabae794671441827d51959037f13208a8427041b331745a1"
"voice_emotion_afraid_male","assets/audio/voice/emotions/voice_emotion_afraid_male_v01.wav","Whimper_Gasp_1_Male","Drkvixn91","https://freesound.org/s/318077/","CC0","03_male_afraid_whimper_318077.mp3","9148ed58562b0ce640efd3f88bfa368417226f64288bbf97f8e9ac98b4e57fad"
"voice_emotion_surprised_male","assets/audio/voice/emotions/voice_emotion_surprised_male_v01.wav","surprise_gasps.wav","esperar","https://freesound.org/s/171942/","CC0","06_male_surprised_set_171942.mp3","27ce9472df84d1dc532108b1c7ccfd41b05cb7fb507dae9683dbc35163f77c78"
"voice_emotion_confused_male","assets/audio/voice/emotions/voice_emotion_confused_male_v01.wav","Male confused-elcharrua.m4a","elcharrua","https://freesound.org/s/530227/","CC-BY 4.0","07_male_confused_huh_530227.mp3","3a8a5387dd465ccc1ca1be0b20655cae858915ee405baccf156d0f5e7743d20b"
"voice_emotion_determined_male","assets/audio/voice/emotions/voice_emotion_determined_male_v01.wav","min-toPlayer B.mp3","ludist","https://freesound.org/s/204457/","CC-BY 3.0","10_male_determined_grunt_204457.mp3","46dfad71602bdbe4d508c7609e09b91308d5cb7a99785c9a0fa894206727d230"
"sfx_merchant_cart_arrival_departure","assets/audio/world/merchant/sfx_merchant_cart_arrival_departure_v01.ogg","Horse trotting.wav","juskiddink","https://freesound.org/s/111301/","CC-BY 4.0","07_horse_trot_road_111301.mp3","408ef490d6a8a340f843cf8f4d87a97a4b135d68322605d65051b16cfde9245b"
"sfx_horse_run","assets/audio/foley/horses/sfx_horse_run_v01.ogg","SRS_Foley_Horse_Galloping.wav","StephenSaldanha","https://freesound.org/s/165532/","CC0","12_horse_gallop_foley_165532.mp3","a829fb22ed1f90531a4e1f726909c82cecd8ec393abf3607ad8a40b33440412e"
"sfx_wood_structure_severe_collapse","assets/audio/combat/structures/sfx_wood_structure_severe_collapse_v01.wav","Wood Collapse","modusmogulus","https://freesound.org/s/794522/","CC0","02_wood_structure_collapse_794522.mp3","04267bfb9edfff8575e0c5238465eb802718b488b85b7735de99b1bbf9d3c63e"
"sfx_stone_structure_severe_collapse","assets/audio/combat/structures/sfx_stone_structure_severe_collapse_v01.wav","Bricks/Stones/Rocks/Gravel Falling","iwanPlays","https://freesound.org/s/567249/","CC0","05_stone_structure_rubble_567249.mp3","6fdc4ecbc4c1140d9354a64575892f57a5d476cf8b8421fdd2daa90a401342e4"
"sfx_enemy_entry_stinger","assets/audio/combat/stingers/sfx_enemy_entry_stinger_v01.wav","Horn002.wav","freefire66","https://freesound.org/s/175946/","CC0","08_enemy_entry_battle_horn_175946.mp3","527b5a5797413542d4665673e3a7335ff3ee8c6e409e67dec6f90e82ce294631"
"sfx_wave_clear_stinger","assets/audio/combat/stingers/sfx_wave_clear_stinger_v01.wav","Music: Orchestral Victory Fanfare","Sheyvan","https://freesound.org/s/470083/","CC-BY 4.0","12_wave_clear_orchestral_470083.mp3","6b3df38b5d896efe82b081b326e5d6f2a146f8078483c7b87965813baafa2b75"
"sfx_final_victory_stinger","assets/audio/combat/stingers/sfx_final_victory_stinger_v01.wav","Victory Fanfare","humanoide9000","https://freesound.org/s/466133/","CC-BY 4.0","01_final_victory_grand_466133.mp3","d99a915cf6adc87949b939259fd053deaa6d62659a781926a89be3e33375d249"
"sfx_defeat_stinger","assets/audio/combat/stingers/sfx_defeat_stinger_v01.wav","Game Over Orchestral Stinger - Cartoon Defeat","TommasoMotteran","https://freesound.org/s/856516/","CC-BY 4.0","05_defeat_orchestral_856516.mp3","464e0705968473f0635528f8790ea0ec67a5a8544815ed3c71a1be3ebcf696d3"
"sfx_arrow_tower_release","assets/audio/combat/defense_devices/sfx_arrow_tower_release_v01.wav","Longbow Release 2.wav","saturdaysoundguy","https://freesound.org/s/394179/","CC0","08_arrow_tower_longbow_394179.mp3","9d1c74b7adb869212bd7bc87d226ae74c8bd4a5b73dc7707b979b850c94b8a70"
"sfx_ballista_heavy_bolt_impact","assets/audio/combat/impacts/sfx_ballista_heavy_bolt_impact_v01.wav","Arrow Impact","Twisted_Euphoria","https://freesound.org/s/205938/","CC0","10_ballista_bolt_impact_205938.mp3","06461ca4d33d78c9651a5c4e13dbc2b6f2cba4c543f0d6cefdabf6f2546a60e9"
